text,label
pillaron al presunto es de nacionalidad colombiana no es sorpresa la violencia es parte del inmigrante de origen colombiano es su cultura,1
cuando se den cuenta que eran homicidas o narco y los pillen dirán hemos dado con este inmigrante ilegal que era un delincuente,1
jajaajja ahí estuviste bien chouza se nota tu cabeza de sudaca y de mal pagador lo llevan en el adn esos papelitos para los países serios es un compromiso para vos y para los sudacas no,1
acá podemos ver a un alemán de cabello rubio ojos celestes bardeando a un negro de mierda que está en su mejor momento,1
chile murieron 8 compatriotas por culpa de un inmigrante que nunca debió pisar chile y ustedes se dan el lujo de no sesionar por su inacción son cómplices de esas muertes más mano dura con los ilegales,1
hay un negro de mierda q nos roba el foquito de afuera de casa si el foquitooooo q negro rata de mierda,1
chuelo que dijo el inmigrante del altiplano me tiene bloqueado,1
da igual eran indigentes y chilenos le importan más inmigrantes en darles todo gratis así que ya saben si los mata un inmigrante la justicia y gobierno le importará una reverenda raja no lo olviden,1
un chileno trabajador debe esperar años para poder arrendar un departamento si es que ha caído 3n dicom es como una condena de por vida un inmigrante hasta se regodea con las ofertas al dueño ahí le da lo mismo sin tienen antecedentes penales hasta les pone alfombra roja,1
el modelo de harris es una creación de carolina herrera una de las marcas más icónicas de ee uu y fundada en 1981 por una mujer venezolana una inmigrante por,1
el titular debe mencionar que el asesino es un inmigrante colombiamo,1
daniel e puto negro si lo pillo lo reviento o por lo menos lo intento,1
alto panchito el colombia este llego a ir y le acomodo los dientes y le arreglo la cara de tragasable que tiene seguro le mataron al papa que amenazo con un arma al policia y le hecha la culpa a los policias,1
hijos de re mil putas son corruptos y encima no tienen un puto criterio mientras tanto el hijo de mil putas de damico le sigue chupando la verga al negro de mierda de tapia,1
jordix13 pero que hace ese puto negro loco,1
por supuesto cabal 13 se olvida de decir que el asesino era un inmigrante colombiano para cuando la pena de muerte para cuando la expulsión masiva de delincuentes extranjeros,1
me alegro de la lesión del puto negro del fracasalona debido al inflamiento mediático de la prensa culerda y parte de la española a mamar,1
ese instante es posterior a que el negro de mierda de tevez le impacta el antebrazo y la pelota rebote en la mano del arquero con razón le dicen bosteros son todos unos soretes,1
a cachondo lo miran las milis y sus novios es un asco ese negro de mierda ni gracia da,1
dejame adivinar inmigrante narco alguna marca o manera especial de firmar su obra mas temprano que tarde el mierdal que armaron les va a llegar a la puerta,1
eres un simio eres un puto simio tienes 2 neuronas y a veces no se te empalman mecago en tu puta madre creo que nadie jamás había descrito con tanta exactitud cuánta subnormalez hay metida en este cuerpo gracias,1
jajajaaa inmigrante sera colombiano como permiten que entre esa calaña de gente y asi como ese deben haber muchos más pululando por ahi,1
unpopular opinion como bogotano me da lo mismo un inmigrante venezolano que un inmigrante paisa costeño caleño etc la diferencia es un papelito nada más,1
bien ahí enriqueciendo la cultura y aportando a chile no era ese el eslogan para permitir la llegada de tanto inmigrante,1
ludlow hay que hecharlo a pata en la raja inmigrante sinvergüenza,1
estafador familia de acogida en otro pais inmigrante,1
para q vamos a preguntar si es inmigrante 🤷🏻‍♂️,1
holis un colombiano inmigrante asesinó a 8 personas en 8 días aquí en chile generalizamos o sería xenofobia,1
siempre el negro de mierda de tévez es una mierda,1
haber osea es inculto porque no es progre es xenofobo porque limita el ingreso de extranjeros y es malo ser patriota te digo panchito a tu modo de pensar prefiero ser inculto xenofobo y por supuesto patriota a ser progre y aun no esta dicha la ultima palabra en usa,1
que hijo de puta este negro de mierda mira si vas a patear así la concha de tu hermana,1
con tanto inmigrante esta todo descontrolado mientras los canarios estan encerrados en casa ellos estan en grupos sin mascarillas en la playa pasean todas las calles se divierten en el parque de atracciones y no importa ellos hacen lo que quieren beben por las calles,1
anda a vender droga negro de mierda,1
no a usted que le pasa porque un inmigrante que lleva menos de 5 años va participar en redactar una constitución parece que no entiende nada los independiente que son chilenos no pueden y extranjeros si,1
carlitostevez negro de mierda mala leche hdmp,1
si el que no se conforma es porque no quiere que guevona la inmigrante,1
carcel te cuento un inmigrante que no quería ir a donde les llevaban va y se sube monte arriba se lia a tirar piedras ahí tienes al helicóptero a la policía a los bomberos aun no sé si han conseguido bajarlo ahora voy yo llamo a los bomberos por incendio y a mi me cobran,1
aca el estado nosotros bancando los viajes de este pedorro delincuente boliviano sera inmune al covid usa barbijo que te pario negro de mierda,1
que negro de mierda este quemado hijo de puta de tevez,1
paultroni tévez negro de mierda macrista,1
carlitostevez negro de mierda sucio mala leche son todo lo que esta mal,1
no fue un choque ole la concha de tu madre el negro de mierda de tevez siempre pone la plancha,1
de eso los españoles saben mucho solo les pido que me hagan mejorar y dominar uno de los idiomas que mas amo en el mundo en españa y solo con españoles ningun sudaca de por medio pase mi mejor verano en el año mas importante de mi vida,1
impresionante rescate en canarias de un inmigrante que tiraba grandes pi via refugiados desde luego que no son ya que en algeria o marruecos no hay guerra alguna,1
inmigrantes la palabra es,1
tenés mala leche sorete negro de mierda,1
ya dejelen allá negro de mierda,1
increíble guevonsote tu eres un inmigrante ilegal,1
este negro de mierda mirándole las cosas a mi amigo lo voy hacer mierda,1
vi otro video de otro inmigrante desnudo por la calle corriendo también el de una mujer ósea traen a chile gente con problemas psiquiátricos y tu lo ves muy normal,1
amando el pobrismo sudaca y el fracaso,1
que cara de raja esta inmigrante no lo exigió en su país y lo viene a exigir a nosotros no apoyaron a sus compatriotas y viene a causar desorden público a chile,1
como a quien explota usa en sudaca ustedes y su mediocridades su incapacidad de salir adelante por si solos quieren culpar a alguien de su desgracia ustedes llevan en la sangre la corupsion y por eso ningunos funcionan a llorar a su mami,1
espero que no vuelvas más a mi pais negro de mierda pedófilo narco comunista hdp 😠😡,1
alemania un inmigrante musulmán recibe 4 5 años por matar a un bombero y un alemán 10 años por un petardo en una mezquita,1
si prefiero pagar un aborto y no 17 años de auh a un negro de mierda,1
europeo dice ser este peruano panchito 🤣😂🤣😂,1
tienen para 140 000 € y pactar 100 plazas de jueces para enchufar amigos con un gasto anual de 15 000 000 € para payasadas de colores rosa mosquiteras coches algoritmos machistas y etc para 7000€ por inmigrante ilegal para sus salarios si,1
tévez negro de mierda segundo arquero que lesionas,1
eres una inmigrante más claro,1
lindo pelo para cortarlo con la trincheta dijo el negro de mierda los pelos de la chota me podes cortar la concha de tu madre,1
que güeá más estúpida que se vaya exigir weas a su país la inmigrante conchesumare,1
osama hosna inmigrante musulmán y héroe del atentado yihadista de viena,1
así ha dejado la oreja un inmigrante ilegal a una mujer que tiene un estanco en pamplona porque no lo apetecía pagar el tabaco y la mujer ha intentado pararlo imagino que irene montero lo condenará como violencia machista intolerable ah no que si es morenito no hay delito,1
compleja situación se vivió la semana pasada tras encontrarse un inmigrante desnudo generando daños a automóviles particulares en las calles de santiago,1
eso que trump no le hace asco a nada pero tampoco se va a coger una sudaca,1
o sea que sí es una inmigrante peor todavía,1
putin esta muy preocupado por lo que dice el apestoso inmigrante de ramos,1
suficiente con que te vayas a tu puto país sudaca,1
mario no cree en la vacuna rusa porque es un negro de mierda que nunca estudió y además es un negro de mierda,1
na com pna es no le va a pasar nada el inmigrante pertenece a una minoría oprimida en riesgo de exclusión social si llega a ser su novio y español la vida arruinada y anunciado a bombo en la sexta ambos casos estaría igual de mal el acto pero con distintas consecuencias para el autor,1
de vuelta a la palmera panchito cabron,1
esto es intolerable ya vemos los resultados de empoderar al inmigrante ilegal,1
que suerte que te fuiste negro de mierda,1
hay más pobreza que nunca desde que habéis entrado que triste creo que es mejor ser inmigrante o venir en patera te ayudan más para prosperar venga k la gente siga vitando a ésta panda a ver quien se toma una cocacola en un bar ahora,1
na com pna es que fuerte que hdp y este ataque no lo va a denunciar la ministra de igual da porque la agresora es una inmigrante y tienen más derecho que nosotros pagar tampoco porque no tendrá ni una cuenta un día en el calabozo y un bocadillo y a la calle así está es la españa,1
no vuelvas nunca más negro de mierda,1
