text,label
Lemas,1
bolivarián,1
abandonado,1
absurdo,1
acabado,1
ácido,1
acomplejado,1
acusado,1
adoctrinado,1
africo,1
agradecido,1
agredido,1
agresivo,1
aguantar,1
almeido,1
amargado,1
amarillista,1
amarillo,1
americano,1
amiguete,1
amoral,1
amoroso,1
amparado,1
analfabeto,1
anarquista,1
anciano,1
animal,1
anormal,1
anti,1
antiespañol,1
antiguo,1
apesebrado,1
apesta,1
aprovechado,1
arcaico,1
arrogante,1
arruinado,1
artificial,1
ascazo,1
asco,1
asesinar,1
asesinato,1
asesino,1
asqueroso,1
atacar,1
autentico,1
autista,1
bajo,1
bananero,1
bancario,1
banderitas,1
bastardo,1
basura,1
bazterrico,1
bicho,1
blanco,1
blanquear,1
bobo,1
bolivariano,1
borracho,1
borrego,1
boyero,1
bravo,1
brutal,1
bruto,1
burdo,1
burro,1
cabrón,1
cachondo,1
cagado,1
cagar,1
calaña,1
calladito,1
callado,1
callar,1
callejero,1
canalla,1
canallo,1
cansino,1
capitalista,1
caradura,1
carajo,1
cargado,1
caspós,1
casposo,1
casta,1
catalanista,1
catastrófico,1
centrado,1
cerdo,1
chavista,1
chiringuito,1
chismoso,1
chorizo,1
chorrada,1
chorrado,1
chulo,1
chupar,1
chusma,1
ciego,1
cinico,1
cínico,1
cloaca,1
cobard,1
cobarde,1
cochino,1
cojón,1
colaboracionista,1
coleta,1
colocado,1
colorado,1
complejo,1
cómpliz,1
comprado,1
compulsivo,1
comunismo,1
comunista,1
condenado,1
condenar,1
consciente,1
conservador,1
contagiado,1
contagio,1
contagiós,1
contundente,1
convencido,1
coño,1
corriente,1
corrupto,1
corto,1
cotizado,1
covidiano,1
covidiota,1
cretino,1
criminal,1
crítico,1
cuadrado,1
culo,1
culpable,1
culpar,1
curioso,1
cutre,1
dañino,1
daño,1
débil,1
degenerado,1
delictivo,1
delincuente,1
delito,1
demagógico,1
demagogo,1
demencial,1
demente,1
denigrant,1
denigrante,1
deplorable,1
depravado,1
derecha,1
derechito,1
desagradable,1
desagradecido,1
desalmado,1
desaparecido,1
desastre,1
desastroso,1
desbordado,1
descarado,1
descerebrado,1
desequilibrado,1
desfachatez,1
desgobierno,1
desgracia,1
desgraciado,1
desleal,1
