emoji,% del total
🏻,5.99
😂,5.34
👉,2.77
😂😂😂,2.54
👇,1.95
🙄,1.82
💩,1.59
😂😂,1.59
🔴,1.53
🏽,1.43
😭,1.37
😡,1.37
😂😂😂😂,1.17
😒,1.14
😔,1.01
🗣,0.91
💪,0.85
😅,0.81
💚,0.78
🙏,0.75
😘,0.75
📌,0.72
😠,0.68
😉,0.62
😤,0.62
🏼,0.59
👀,0.59
😍,0.55
💜,0.52
👍,0.52
🙌,0.52
🔥,0.52
😱,0.46
😢,0.46
😑,0.42
😎,0.42
💔,0.42
🚨,0.42
📢,0.42
😞,0.42
🌎,0.42
🎶,0.39
🌟,0.39
😆,0.39
😊,0.39
😁,0.39
😬,0.39
😳,0.36
📍,0.36
🗓,0.36
😩,0.36
😭😭,0.36
👏,0.36
📰,0.33
📺,0.33
🏾,0.33
👏👏👏,0.33
😈,0.33
😂😂😂😂😂,0.33
📡,0.33
🌶,0.33
😭😭😭,0.29
🔗,0.29
🙃,0.29
🙂,0.29
😌,0.29
😡😡,0.29
😂😂😂😂😂😂,0.29
🎙,0.29
👩,0.29
🔵,0.29
😃,0.26
🔶,0.26
😜,0.26
👉🏼,0.23
😀,0.23
📷,0.23
📻,0.23
💩💩💩,0.23
🐀,0.23
💕,0.23
🔸,0.2
💪💪💪,0.2
😅😅,0.2
👏🏻👏🏻,0.2
🌹,0.2
💉,0.2
📲,0.2
🔎,0.2
🎉,0.2
🏳,0.2
👍🏻,0.2
😓,0.2
😡😡😡😡,0.2
📆,0.2
👌,0.2
👇👇👇,0.2
💬,0.2
💻,0.2
🙈,0.2
👇🏻,0.16
🖤,0.16
📚,0.16
😡😡😡😡😡😡,0.16
📸,0.16
🏆,0.16
💪💪,0.16
😫,0.16
😅😅😅,0.16
👁,0.16
🖕🏻,0.16
📹,0.16
😥,0.16
🙌🏻,0.16
💙,0.16
🚩,0.16
👍🏼,0.16
😴,0.16
🛑,0.16
🏴,0.16
👑,0.16
🙏🏻,0.16
💖,0.16
👉🏽,0.16
🌍,0.16
💩💩💩💩,0.13
🙄🙄🙄,0.13
😏,0.13
🐷,0.13
🍄,0.13
🍀,0.13
💪🏼,0.13
👇🏽,0.13
👎,0.13
🌈,0.13
💣,0.13
🟥,0.13
😅😅😅😅😅,0.13
😪,0.13
🗳,0.13
😒😒😒,0.13
👁👄👁,0.13
😇,0.13
🔥🔥🔥,0.13
😰,0.13
😱😱😱,0.13
😍😍,0.13
👉🐀,0.13
🙈🙈🙈,0.13
📝,0.13
😡😠😡,0.13
😷,0.13
📣,0.13
😅😅😅😅,0.13
🎵,0.13
💥,0.1
🔴🔴,0.1
😠😠😠,0.1
🌵,0.1
🎯,0.1
👏👏,0.1
😶,0.1
😊😘,0.1
😡😡😡,0.1
🔥🔥,0.1
📩,0.1
😄,0.1
😡😡😡😡😡,0.1
👊,0.1
🗞,0.1
🖕,0.1
🔔,0.1
💯,0.1
🌶🌶🌶,0.1
👋,0.1
👏👏👏👏,0.1
😂😂😂😂😂😂😂😂,0.1
🏀,0.1
👩🏻,0.1
🕳,0.1
🙄🙄,0.1
👏👏👏👏👏👏👏,0.1
📽,0.1
🌈🏳,0.1
😨,0.1
🐸🐸🐸🐸🐸,0.1
💛💜,0.1
🎤,0.1
💖💖,0.1
👧,0.1
👦,0.1
🖊,0.1
🙋,0.1
😫😫😫,0.1
🌚,0.1
😕,0.1
💯💯,0.1
😩😩😩,0.1
😔😔,0.1
🙏🙏🙏,0.1
🙏🏽,0.1
😱😡,0.1
😟,0.1
😵,0.1
💙💛,0.1
😋,0.1
🔹,0.1
🐕,0.1
🍁,0.1
😂😂😂😂😂😂😂😂😂,0.07
🖕🏽,0.07
👆,0.07
😢😢,0.07
👊🏽,0.07
👹👹,0.07
🎂,0.07
🐄,0.07
😅😅😅😅😅😅,0.07
👌🏼,0.07
👏🏼👏🏼👏🏼,0.07
💕💕💕,0.07
😡😡😡😡😡😡😡,0.07
😍😍😍,0.07
👏🏻👏🏻👏🏻,0.07
💪🏻💜,0.07
🚁,0.07
😁😁,0.07
🐶,0.07
📙,0.07
🌡,0.07
🔴📢,0.07
💨,0.07
🚇,0.07
🏃,0.07
🍋,0.07
🌞,0.07
🏞,0.07
🚺,0.07
👿,0.07
🟧,0.07
😗,0.07
😉😂,0.07
💫,0.07
👌🏼👌🏼👌🏼,0.07
🌐,0.07
😒😒,0.07
😞😞,0.07
💰,0.07
😂😂😂😂😂😂😂,0.07
🍻,0.07
😍😍😍😍,0.07
💜💜,0.07
🖕🖕,0.07
👷,0.07
😘😘😘,0.07
👏👏👏👏👏👏,0.07
😵😲,0.07
💁,0.07
🐒🐒🐒,0.07
🎊,0.07
🙄🙄🙄🙄,0.07
😭😭😭😭,0.07
💩💩,0.07
😠😡,0.07
😱😱😱😱,0.07
😪😪,0.07
😅😂,0.07
😿,0.07
🍍,0.07
😳😳😳,0.07
😹😹😹,0.07
🔝😎,0.07
😭😭😭😭😭,0.07
😖,0.07
😉😘,0.07
👏🏼,0.07
🚨🚨,0.07
🔬,0.07
👉🏻,0.07
🏖,0.07
🖕🏼,0.07
😂😂😂😂😂😂😂😂😂😂😂,0.07
🙊,0.07
🔵🔴,0.07
👌🏻,0.07
🖐,0.07
🎶🎶🎶,0.07
🗨,0.07
💪🏾,0.07
💗,0.07
🙏🏼,0.07
🍴,0.07
💃,0.07
🎱,0.07
😂😅,0.07
🔫,0.07
🌎🌱,0.07
😛😛😛,0.07
👈,0.07
👏🏾👏🏾,0.07
📋,0.07
🔊,0.07
📜,0.07
😐,0.07
🙌🏼,0.07
📈,0.07
🚀,0.07
😠😠,0.07
😩😩,0.07
💛,0.07
🔴🎥,0.07
😫🔥💯💯💯👊💸,0.07
🏐,0.07
📞,0.07
👇🏾,0.07
😾,0.07
😅😅😅😅😅😅😅,0.07
🎶🎶,0.07
🐸🐸🐸,0.07
🐒,0.07
🙈🙈,0.07
💼,0.07
😘😘,0.07
🎱🎱,0.07
💞,0.07
😷😡💉,0.07
😆😁,0.03
😡😠,0.03
😫😭,0.03
😳😳😳😳,0.03
😂😂😆😆😆,0.03
💚💚💚💚💚💚,0.03
😆😆,0.03
😱😱😱😱😱,0.03
🔵🗣,0.03
👷🏻,0.03
💘,0.03
💗💗💗💗💗,0.03
🙌🙌🙌🙌,0.03
🟨,0.03
👇🏼👇🏼👇🏼,0.03
🎁,0.03
🎓👩,0.03
📸📸👌,0.03
🙂🙃,0.03
🌟🌟🌟💪,0.03
💪💪💪💪🔥🔥🔥🔥💓💓💓💓💓💓,0.03
😨😨😨🙄,0.03
🙏🙏,0.03
🍷,0.03
😤😤😤,0.03
😜😜😜,0.03
🔋,0.03
🟣,0.03
🎶🎶🎶🎶,0.03
😌👆🏾,0.03
🎉🎉,0.03
🐺,0.03
🏫👩,0.03
😅😊,0.03
😫😩😫😩,0.03
👣🐾,0.03
💚💜,0.03
🔥😳,0.03
😝,0.03
💙💙💙,0.03
🐎,0.03
💛💛💛💛,0.03
🌚😂,0.03
🐀🐀🐀🐀🐀🐀🐀🐀🐹🐹🐹🐹,0.03
😩🙄😱,0.03
💪🏽👍🏽,0.03
😮😱,0.03
😄😄😄,0.03
💪🏼💪🏼,0.03
👏👏👏👏😉,0.03
👇👇👇👇👇👇👇👇👇👇👇👇,0.03
🔴📣,0.03
😳💔,0.03
🌃,0.03
💺,0.03
🍡,0.03
👮,0.03
😠😠😠😠,0.03
😁😁😁,0.03
🌺,0.03
😅😅😅😅😅😅😅😅,0.03
