emoji,% del total
😂,14.659685863874344
😂😂😂,9.424083769633508
😅,7.329842931937172
👍,4.712041884816754
😊,3.664921465968586
😂😂,3.1413612565445024
😉,2.6178010471204187
😂😂😂😂😂,2.6178010471204187
😮,2.094240837696335
💪,2.094240837696335
😂😂😂😂,1.5706806282722512
😢,1.5706806282722512
😅😅😅,1.5706806282722512
👌,1.0471204188481675
😂😂😂😂😂😂,1.0471204188481675
🙂,1.0471204188481675
💪💪,1.0471204188481675
👍👍,1.0471204188481675
🍳🍳,1.0471204188481675
👏👏👏👏,1.0471204188481675
💩,1.0471204188481675
😂😂😂😂😂😂😂😂,1.0471204188481675
💯,1.0471204188481675
😢😢,1.0471204188481675
😅😊,1.0471204188481675
👍👍👍👍,1.0471204188481675
😅😂,0.5235602094240838
😋,0.5235602094240838
🍏,0.5235602094240838
😔,0.5235602094240838
😆😆😆,0.5235602094240838
😂😆😅,0.5235602094240838
😂😂😮😅😅,0.5235602094240838
🕸,0.5235602094240838
😒,0.5235602094240838
💪💪💪,0.5235602094240838
😢😢😢,0.5235602094240838
💯👌,0.5235602094240838
👋,0.5235602094240838
🏀,0.5235602094240838
👏🏻👏🏻,0.5235602094240838
🚘,0.5235602094240838
🚙,0.5235602094240838
🔋,0.5235602094240838
📻,0.5235602094240838
👏👏👏👏👏👏👏👏👏👏👏,0.5235602094240838
😊😊😊😊😊😊,0.5235602094240838
😅😂😂😂,0.5235602094240838
😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,0.5235602094240838
😰😡,0.5235602094240838
💩💩,0.5235602094240838
😅😅😅😅😅,0.5235602094240838
👎🏻,0.5235602094240838
😵,0.5235602094240838
😳🙄,0.5235602094240838
💪💪💪💪💪,0.5235602094240838
🏻,0.5235602094240838
🔥🛢,0.5235602094240838
👍👍👍👍👍👏👏👏👏👏👏,0.5235602094240838
🔥,0.5235602094240838
💶💶💶💶,0.5235602094240838
😎,0.5235602094240838
🍀💪,0.5235602094240838
🚗,0.5235602094240838
💪🏻,0.5235602094240838
👍👍👍👍👍,0.5235602094240838
👍👏👏,0.5235602094240838
👏👏👏👏👏,0.5235602094240838
👏👏👏,0.5235602094240838
😱😱😱😡😡😡😡😡,0.5235602094240838
😅😅,0.5235602094240838
😡😡😡,0.5235602094240838
😊😊😊,0.5235602094240838
😢😢😢😢,0.5235602094240838
😂😂😂😂😂😂😂😂😂,0.5235602094240838
😜,0.5235602094240838
🙃,0.5235602094240838
🙈🙈🙈🙈,0.5235602094240838
😁😁,0.5235602094240838
👏🏻👏🏻👏🏻,0.5235602094240838
💫,0.5235602094240838
👏,0.5235602094240838
