Autor,Comentario
@slcuervo,"Sí, lo sé, con el ataque de mala hostia que me entró al ver los coches, me puse la mascarilla del revés... 😅😅"
@juanblanco2744,"ya,pero lo mismo el k saques las matriculas es una mierda"
@crikso1980,"Pero eso pasa en todos los sitios.....no es nada especial, simplemente es el ser humano"
@ramoncillerofernandez6706,"Señor, si la tarifa en el punto de recarga fuese distinta si no estas cargando verías como era diferente"
@josefasuarezsanchez8420,Saul esto es España no hay verguenza que valga!.
@luismed9862,Este es un problema de educacion y cultura y tiene dificil solucion hasta que empiecen a poner multas por eso..
@Mac96481,"Falta de educación, vergüenza ajena. Como en la zona de minusválidos"
@comando555lozam3,"Entiendo el punto pero es una area publica, un parking su funcion es aparcar que le ayan añadido cargadores los hace mas practicos pero eso no significa que nopuedan utilizarse para aparcar, es el mundo publico si quieres tener siempre acceso a cargadores comprate uno o espera el turno para descargar recueeda que no eres el unico que conduce en este planeta. Tambien ten en cuenta que un coche electrico no tiene que aparcar en un surtidor pero uno de combustion en una plaza de aparcamiento si"
@gremaagmate,"Estos son los típicos que aparcan en zonas de minusvalías y les da igual, van de sobrados y así estamos, como manejan coches de mucha pasta pues el mundo es de ellos."
@Toni-if4rj,"La gente no piensa , es muy insolidaria otro ejemplo ¿ quien pone los intermitente para señalizar una maniobra ?"
@antoni5186,"Por cierto he leído algunos comentarios en los que incluso invitan a que retirase el vehículo la grúa, (algo ilegal por cierto en estos casos y en un parking privado de uso publico), o que se multase a los vehículos en el parking privado algo bastante poco aconsejable, evidentemente quiénes hacen esas afirmaciones les pasa algo parecido a lo que le pasa a Saúl, que no reflexionan lo suficiente y son los que hacen que se creen leyes restrictivas y muchas formas de multar a la gente para saquear más nuestros bolsillos, lo cierto es que a las personas que piensan así habría que darles cursos de reeducación mas amplia, y percepcion multiple, ya que no se consigue otra cosa que recaudar mas poniendo multas a todo el mundo, algo que a los fundamentalistas les encanta y a los vividores les llena los bolsillos, lo que hay que hacer es pensar un poco más y ladrar un poco menos, si quienes creen que pueden mantener un parking con plazas limitadas manteniéndolas vacías, son tan listos lo que deben hacer es montar un parking bajo concesión y ver la rentabilidad, pero es mucho más fácil soltar que se ponga multas para que los aprovechados de siempre tomen nota, y digan las autoridades despues, que es que la gente lo pide, desde luego no tenemos más t0nt0s útiles porque ya no caben."
@antoni5186,"Parece ser que nuevamente vamos a tener que tomar mucho mas en serio que Garitano tiene razón, pues parece que no te da mucho la capacidad deductiva para pensar de forma más ecuánime.
No sabras, que si no está señalizado en un parking claramente como aparcamiento solo exclusivo para vehículos de carga electrica, quiere decir que la plaza puede ser utilizada por cualquiera, eso se da por ejemplo en parkings como el de la Concha, cuando hay pocos coches eléctricos y muchos térmicos que no podrían aparcar teniendo plazas vacías en las que sirven tambien como punto de recarga, (eso se llama optimizar los recursos); quizás si te tomases la molestia de hablar con la dirección del parking (más que con los empleados en sí mismo), te explicarían las razones, pero claro, eso a personas que se dejan llevar solo por el fanatismo, (como te ocurre a ti), es poco probable que lo hagan, hay otros motivos también posibles y justificados, o pueden ser personas que no se hayan dado cuenta, o simplemente siguiendo instrucciones del personal del parking, puesto que tú mismo has podido comprobar que aún habían plazas libres para poder poner vehículos a recargar, y que otros pudiendo estar recargando no lo hacían. Razones hay, solo hay que indignarse un poco menos y pensar un poco más."
@radexx,"Pues eso, día normal en España. Hemos normalizado el egoísmo y la mala educación. Y eso tiene mala solución.
Es más, lo llamamos ""picaresca"" alegremente."
@jonandueza2104,"Toda la razón,un saludo desde Donosti"
@joseluisguerra1714,Se merecen un repaso con un piolet por todo el coche para que vallan ventilados.
@CabraConKona,"Multa y grúa, si no la gente no aprende"
@ManuelRodriguez-dd4jt,"Saúl has dicho '' polla '' , no te reconozco... Se va a acabar el mundo"
@EnriqueGarcia-yv3xz,Mucho Hater suelto
@nachomdq32,"Eso se corrige con carteleria y sanciones. Carteleria para avisar como es la rioridad y el uso, y sanciones fuertes para que les duela el bolsillo si cometen esas estupideces!!"
@josemariarodriguezgarcia5333,"El coche del final del vídeo aparcó a la izquierda donde había hueco?? 🤣🤣🤣 Se merecen simplemente que a alguien se le caiga una piedra en una ventanilla , panda de personajes con cero empatía y educación"
@paco4424,"Puede ser (por los colores del parking) un parking de la empresa TELPARK, en Santander hay uno que las plazas de los cargadores y las plazas que puedes reservar con antelación, son las mismas, así que adivina lo que pasa, yo me he quejado, pero me ha dado igual... El que un eléctrico ocupe una plaza y no carge ya lo he visto muchas más veces... creo que nos falta mucho CIVISMO."
