Autor,new_processed
@slcuervo,si lo se con el ataque de mala hostia que me entro al ver los coches me puse la mascarilla del reves
@juanblanco2744,yapero lo mismo el k saques las matriculas es una mierda
@crikso1980,pero eso pasa en todos los sitiosno es nada especial simplemente es el ser humano
@ramoncillerofernandez6706,senor si la tarifa en el punto de recarga fuese distinta si no estas cargando verias como era diferente
@josefasuarezsanchez8420,saul esto es espana no hay verguenza que valga
@luismed9862,este es un problema de educacion y cultura y tiene dificil solucion hasta que empiecen a poner multas por eso
@Mac96481,falta de educacion verguenza ajena como en la zona de minusvalidos
@comando555lozam3,entiendo el punto pero es una area publica un parking su funcion es aparcar que le ayan anadido cargadores los hace mas practicos pero eso no significa que nopuedan utilizarse para aparcar es el mundo publico si quieres tener siempre acceso a cargadores comprate uno o espera el turno para descargar recueeda que no eres el unico que conduce en este planeta tambien ten en cuenta que un coche electrico no tiene que aparcar en un surtidor pero uno de combustion en una plaza de aparcamiento si
@gremaagmate,estos son los tipicos que aparcan en zonas de minusvalias y les da igual van de sobrados y asi estamos como manejan coches de mucha pasta pues el mundo es de ellos
@Toni-if4rj,la gente no piensa es muy insolidaria otro ejemplo quien pone los intermitente para senalizar una maniobra
@antoni5186,por cierto he leido algunos comentarios en los que incluso invitan a que retirase el vehiculo la grua algo ilegal por cierto en estos casos y en un parking privado de uso publico o que se multase a los vehiculos en el parking privado algo bastante poco aconsejable evidentemente quienes hacen esas afirmaciones les pasa algo parecido a lo que le pasa a saul que no reflexionan lo suficiente y son los que hacen que se creen leyes restrictivas y muchas formas de multar a la gente para saquear mas nuestros bolsillos lo cierto es que a las personas que piensan asi habria que darles cursos de reeducacion mas amplia y percepcion multiple ya que no se consigue otra cosa que recaudar mas poniendo multas a todo el mundo algo que a los fundamentalistas les encanta y a los vividores les llena los bolsillos lo que hay que hacer es pensar un poco mas y ladrar un poco menos si quienes creen que pueden mantener un parking con plazas limitadas manteniendolas vacias son tan listos lo que deben hacer es montar un parking bajo concesion y ver la rentabilidad pero es mucho mas facil soltar que se ponga multas para que los aprovechados de siempre tomen nota y digan las autoridades despues que es que la gente lo pide desde luego no tenemos mas t0nt0s utiles porque ya no caben
@antoni5186,parece ser que nuevamente vamos a tener que tomar mucho mas en serio que garitano tiene razon pues parece que no te da mucho la capacidad deductiva para pensar de forma mas ecuanime no sabras que si no esta senalizado en un parking claramente como aparcamiento solo exclusivo para vehiculos de carga electrica quiere decir que la plaza puede ser utilizada por cualquiera eso se da por ejemplo en parkings como el de la concha cuando hay pocos coches electricos y muchos termicos que no podrian aparcar teniendo plazas vacias en las que sirven tambien como punto de recarga eso se llama optimizar los recursos quizas si te tomases la molestia de hablar con la direccion del parking mas que con los empleados en si mismo te explicarian las razones pero claro eso a personas que se dejan llevar solo por el fanatismo como te ocurre a ti es poco probable que lo hagan hay otros motivos tambien posibles y justificados o pueden ser personas que no se hayan dado cuenta o simplemente siguiendo instrucciones del personal del parking puesto que tu mismo has podido comprobar que aun habian plazas libres para poder poner vehiculos a recargar y que otros pudiendo estar recargando no lo hacian razones hay solo hay que indignarse un poco menos y pensar un poco mas
@radexx,pues eso dia normal en espana hemos normalizado el egoismo y la mala educacion y eso tiene mala solucion es mas lo llamamos picaresca alegremente
@jonandueza2104,toda la razonun saludo desde donosti
@joseluisguerra1714,se merecen un repaso con un piolet por todo el coche para que vallan ventilados
@CabraConKona,multa y grua si no la gente no aprende
@ManuelRodriguez-dd4jt,saul has dicho polla no te reconozco se va a acabar el mundo
@EnriqueGarcia-yv3xz,mucho hater suelto
@nachomdq32,eso se corrige con carteleria y sanciones carteleria para avisar como es la rioridad y el uso y sanciones fuertes para que les duela el bolsillo si cometen esas estupideces
@josemariarodriguezgarcia5333,el coche del final del video aparco a la izquierda donde habia hueco se merecen simplemente que a alguien se le caiga una piedra en una ventanilla panda de personajes con cero empatia y educacion
@paco4424,puede ser por los colores del parking un parking de la empresa telpark en santander hay uno que las plazas de los cargadores y las plazas que puedes reservar con antelacion son las mismas asi que adivina lo que pasa yo me he quejado pero me ha dado igual el que un electrico ocupe una plaza y no carge ya lo he visto muchas mas veces creo que nos falta mucho civismo
@juanfco.morianaavila2726,eso demuestra que san sebastian es como el resto de espana y si falta mucha cultura todavia sobre este tema y poca voluntad politica porque si aparcas en zona azul y no pagas a la media hora tienes al revisor poniendo la multa logico pues aqui podria ser igual pero no
@rafagonzalez1315,esto es espana que esperabas
@MrRacasado,me imagino que no hay espacio en el parking y puesto que pagas por usarlo lo dejaron ahi al no encontrar otro sitio disponible san sebastian en agosto quiero pensar es por eso
@AlRider,bienvenido a espanistan
@FlyUrrun,como me recuerda a las plazas de personas con movilidad reducidasiempre ocupadas por gente sin ninguna limitacion educacion
@Novacat170,tendrias que venir la grua y llevarse todos los termicos e incluso a los electricos no enchufados que se lleven unos cuantos cientos de euros de multa para que no repitan mas el mal trago de no encontrar el coche
