comments,Logistic Regression,Gradient Boosting
si lo se con el ataque de mala hostia que me entro al ver los coches me puse la mascarilla del reves,0,0
yapero lo mismo el k saques las matriculas es una mierda,1,0
pero eso pasa en todos los sitiosno es nada especial simplemente es el ser humano,0,0
senor si la tarifa en el punto de recarga fuese distinta si no estas cargando verias como era diferente,0,0
saul esto es espana no hay verguenza que valga,1,0
este es un problema de educacion y cultura y tiene dificil solucion hasta que empiecen a poner multas por eso,1,0
falta de educacion verguenza ajena como en la zona de minusvalidos,1,0
entiendo el punto pero es una area publica un parking su funcion es aparcar que le ayan anadido cargadores los hace mas practicos pero eso no significa que nopuedan utilizarse para aparcar es el mundo publico si quieres tener siempre acceso a cargadores comprate uno o espera el turno para descargar recueeda que no eres el unico que conduce en este planeta tambien ten en cuenta que un coche electrico no tiene que aparcar en un surtidor pero uno de combustion en una plaza de aparcamiento si,0,0
estos son los tipicos que aparcan en zonas de minusvalias y les da igual van de sobrados y asi estamos como manejan coches de mucha pasta pues el mundo es de ellos,0,0
la gente no piensa es muy insolidaria otro ejemplo quien pone los intermitente para senalizar una maniobra,1,0
por cierto he leido algunos comentarios en los que incluso invitan a que retirase el vehiculo la grua algo ilegal por cierto en estos casos y en un parking privado de uso publico o que se multase a los vehiculos en el parking privado algo bastante poco aconsejable evidentemente quienes hacen esas afirmaciones les pasa algo parecido a lo que le pasa a saul que no reflexionan lo suficiente y son los que hacen que se creen leyes restrictivas y muchas formas de multar a la gente para saquear mas nuestros bolsillos lo cierto es que a las personas que piensan asi habria que darles cursos de reeducacion mas amplia y percepcion multiple ya que no se consigue otra cosa que recaudar mas poniendo multas a todo el mundo algo que a los fundamentalistas les encanta y a los vividores les llena los bolsillos lo que hay que hacer es pensar un poco mas y ladrar un poco menos si quienes creen que pueden mantener un parking con plazas limitadas manteniendolas vacias son tan listos lo que deben hacer es montar un parking bajo concesion y ver la rentabilidad pero es mucho mas facil soltar que se ponga multas para que los aprovechados de siempre tomen nota y digan las autoridades despues que es que la gente lo pide desde luego no tenemos mas t0nt0s utiles porque ya no caben,0,0
